Company1_price_high,Company1_price_low,Company2_price_high,Company2_price_low,Company3_price_high,Company3_price_low,Company4_price_high,Company4_price_low
132.5,132.0,0.2194787412881851,0.1995261311531067,5.1875,4.75,23.81999969482422,22.950000762939453
132.25,131.5,0.2194787412881851,0.1695972084999084,4.9375,4.5,23.5,22.799999237060547
132.0,128.5,0.179573506116867,0.179573506116867,4.3125,2.875,23.989999771118164,23.209999084472656
132.0,129.0,0.179573506116867,0.1695972084999084,3.5,3.0625,24.020000457763672,23.09000015258789
132.5,129.0,0.2095024287700653,0.1695972084999084,4.125,3.5625,23.31999969482422,22.420000076293945
132.0,129.75999450683594,0.1695972084999084,0.1695972084999084,4.0,3.375,23.489999771118164,22.43000030517578
141.0,132.0,0.2095024287700653,0.1895498186349868,3.625,3.4375,23.40999984741211,22.850000381469727
145.0,138.0,0.2394313514232635,0.2394313514232635,3.5625,3.375,22.540000915527344,22.25
143.0,139.25,0.2194787412881851,0.1995261311531067,3.5,3.3125,22.5,21.82999992370605
144.0,141.25,0.2394313514232635,0.2394313514232635,3.4375,3.25,22.489999771118164,21.76000022888184
148.0,142.0,0.2394313514232635,0.1995261311531067,3.3125,3.0625,22.200000762939453,21.11000061035156
144.5,134.0,0.2394313514232635,0.1995261311531067,3.6875,3.3125,21.290000915527344,20.59000015258789
140.0,136.0,0.2194787412881851,0.2194787412881851,3.9375,3.8125,21.71999931335449,20.57999992370605
135.0,135.0,0.2593839764595032,0.2194787412881851,3.875,3.8125,21.059999465942383,20.13999938964844
139.0,135.0,0.2593839764595032,0.2394313514232635,3.875,3.8125,20.88999938964844,19.43000030517578
135.5,133.75,0.2494076639413833,0.2194787412881851,3.8125,3.8125,19.61000061035156,19.13999938964844
138.0,135.0,0.2494076639413833,0.2294550389051437,3.9375,3.8125,19.270000457763672,18.1200008392334
134.60000610351562,129.5,0.2394313514232635,0.2194787412881851,3.75,3.375,18.38999938964844,14.380000114440918
130.0,127.0,0.2494076639413833,0.2194787412881851,3.375,3.375,17.719999313354492,16.139999389648438
130.0,127.5,0.2494076639413833,0.2394313514232635,3.5,3.375,17.209999084472656,16.110000610351562
130.0,129.0,0.2394313514232635,0.2394313514232635,3.6875,3.5625,17.030000686645508,16.260000228881836
130.0,127.25,0.2394313514232635,0.2194787412881851,3.6875,3.5625,17.940000534057617,16.649999618530273
133.0,128.75,0.2394313514232635,0.2194787412881851,3.625,3.5625,18.600000381469727,17.05500030517578
135.5,129.0,0.2394313514232635,0.2194787412881851,3.6875,3.5,19.850000381469727,18.450000762939453
135.0,131.0,0.3790996372699737,0.2194787412881851,3.6875,3.5625,19.57999992370605,18.25
132.0,130.0500030517578,0.3790996372699737,0.29928919672966,3.75,3.625,20.170000076293945,18.81599998474121
134.0,132.5,0.3391944169998169,0.29928919672966,3.625,3.5,19.32999992370605,18.61000061035156
133.25,130.0,0.3691233396530151,0.3292181193828583,3.625,3.5,19.3700008392334,18.82999992370605
131.0,130.0,0.3491707146167755,0.3092654943466186,3.5625,3.4375,19.13999938964844,18.780000686645508
132.5,131.5,0.3391944169998169,0.3092654943466186,3.5625,3.5,18.850000381469727,18.229999542236328
133.25,132.0,0.3292181193828583,0.2793365716934204,3.5625,3.375,18.700000762939453,16.479999542236328
133.0,132.10000610351562,0.3292181193828583,0.3092654943466186,3.3125,3.1875,16.75,15.79800033569336
139.0,132.60000610351562,0.3292181193828583,0.29928919672966,3.125,3.0625,17.270000457763672,16.309999465942383
148.5,139.0,0.3591470122337341,0.3192417919635772,3.1875,3.0625,18.5,17.190000534057617
157.0,145.0,0.3491707146167755,0.289312869310379,3.0,3.0,18.26000022888184,17.31999969482422
206.0,156.10000610351562,0.3391944169998169,0.2793365716934204,3.0625,2.875,18.174999237060547,16.5
234.0,204.0,0.3292181193828583,0.3092654943466186,2.8125,2.75,17.770000457763672,16.59000015258789
219.9499969482422,192.0,0.3391944169998169,0.3192417919635772,2.6875,2.5625,17.75,16.770000457763672
200.0,184.0,0.3391944169998169,0.3192417919635772,2.6875,2.5,17.75,17.020000457763672
194.0,192.4499969482422,0.3292181193828583,0.3092654943466186,2.9375,2.6875,17.690000534057617,17.09000015258789
195.0,189.0,0.3292181193828583,0.3092654943466186,2.9375,2.6875,17.90999984741211,17.020000457763672
204.8999938964844,195.0,0.3591470122337341,0.3092654943466186,2.75,2.625,18.36000061035156,17.260000228881836
220.0,205.0,0.3990522623062134,0.3192417919635772,2.75,2.6875,17.8700008392334,17.260000228881836
230.0,220.0,0.3990522623062134,0.3691233396530151,2.75,2.6875,18.07999992370605,17.31999969482422
235.0,229.0,0.3890759348869324,0.3391944169998169,2.75,2.5625,17.8700008392334,17.719999313354492
278.0,219.5,0.3691233396530151,0.3292181193828583,2.6875,2.5,17.920000076293945,17.5
285.0,274.0,0.3790996372699737,0.3391944169998169,2.6875,2.375,18.020000457763672,17.579999923706055
270.0,260.0,0.3591470122337341,0.3192417919635772,2.6875,2.375,18.049999237060547,17.639999389648438
288.0,278.0,0.3391944169998169,0.3192417919635772,2.75,2.625,17.979999542236328,17.399999618530273
300.0,282.0,0.3192417919635772,0.3192417919635772,2.6875,2.625,18.280000686645508,17.459999084472656
298.0,294.0,0.3292181193828583,0.3192417919635772,2.6875,2.5625,18.46699905395508,18.0
302.0,297.5,0.3990522623062134,0.3292181193828583,2.625,2.5,18.299999237060547,17.899999618530273
300.010009765625,300.010009765625,0.4190048575401306,0.3890759348869324,2.625,2.4375,18.239999771118164,17.725000381469727
336.0,317.0,0.4289811551570892,0.3990522623062134,3.4375,2.4375,18.1299991607666,17.6299991607666
